304 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 177, 21, 3 ]
305 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 178, 21, 3 ]
306 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 179, 21, 3 ]
307 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 180, 21, 3 ]
308 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 180, 21, 3 ]
309 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 181, 21, 3 ]
310 / 10000: [ 0, 0, 1, 0, 0 ], [ 0, 181, 21, 3 ]
311 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 182, 21, 3 ]
312 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 183, 21, 3 ]
313 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 184, 21, 3 ]
314 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 185, 21, 3 ]
315 / 10000: [ 0, 1, 1, 0, 0 ], [ 0, 185, 22, 3 ]
316 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 185, 22, 3 ]
317 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 185, 22, 3 ]
318 / 10000: [ 0, 1, 1, 0, 0 ], [ 0, 185, 23, 3 ]
319 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 185, 23, 3 ]
320 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 185, 23, 3 ]
321 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 185, 23, 3 ]
322 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 185, 23, 3 ]
323 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 186, 23, 3 ]
324 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 187, 23, 3 ]
325 / 10000: [ 0, 1, 1, 0, 0 ], [ 0, 187, 24, 3 ]
